MfgCode|BrandID|PartNo|HazMatCode|BaseItemNo|GTIN|GTINQualifier|BrandLabel|SubBrandID|SubBrandLabel|VMRSBrandID|ACESApplication|ItemQtySize|ItemQtyUOM|ContainerType|QtyPerApp|QtyPerAppUOM|QtyPerAppQualifier|EffectiveDate|AvailableDate|MinOrder|MinOrderUOM|GroupCode|SubGroupCode|UNSPSC|PartType|CategoryCode|VMRSCode
|JVYD|AFF120105511445SMF|||717416628222||||||||||||||||||||7644||
|JVYD|AFF120105512035SMF|||717416628284||||||||||||||||||||7644||
|JVYD|AFF12090511432SMF|||717416628192||||||||||||||||||||7644||
|JVYD|AFF12090512030SMF|||717416628253||||||||||||||||||||7644||
|JVYD|AFF120105511445MB|||717416628208||||||||||||||||||||7644||
|JVYD|AFF120105512035MB|||717416628260||||||||||||||||||||7644||
|JVYD|AFF12090511432MB|||717416628178||||||||||||||||||||7644||
|JVYD|AFF12090512030MB|||717416628239||||||||||||||||||||7644||
|JVYD|AFF120105511445MBR|||717416628215||||||||||||||||||||7644||
|JVYD|AFF120105512035MBR|||717416628277||||||||||||||||||||7644||
|JVYD|AFF12090511432MBR|||717416628185||||||||||||||||||||7644||
|JVYD|AFF12090512030MBR|||717416628246||||||||||||||||||||7644||
|JVYD|AFF21985511235SMF|||781119502110||||||||||||||||||||7644||
|JVYD|AFF219855114335SMF|||781119502158||||||||||||||||||||7644||
|JVYD|AFF21985512035SMF|||781119502196||||||||||||||||||||7644||
|JVYD|AFF21995511235SMF|||781119502233||||||||||||||||||||7644||
|JVYD|AFF219955114335SMF|||781119502271||||||||||||||||||||7644||
|JVYD|AFF21995512035SMF|||781119502318||||||||||||||||||||7644||
|JVYD|AFF220105511235SMF|||781119502394||||||||||||||||||||7644||
|JVYD|AFF220105511445SMF|||781119502479||||||||||||||||||||7644||
|JVYD|AFF220105512035SMF|||781119502554||||||||||||||||||||7644||
|JVYD|AFF2209511230SMF|||781119502356||||||||||||||||||||7644||
|JVYD|AFF2209511432SMF|||781119502431||||||||||||||||||||7644||
|JVYD|AFF2209512030SMF|||781119502516||||||||||||||||||||7644||
|JVYD|AFF21985511235MB|||781119502097||||||||||||||||||||7644||
